iter	Passed	Remaining
867	17848	2714
868	17881	2695
869	17901	2674
870	17927	2655
871	17953	2635
872	17980	2615
873	17996	2594
874	18012	2573
875	18029	2552
876	18045	2530
877	18062	2509
878	18078	2488
879	18094	2467
880	18111	2446
881	18127	2425
882	18143	2404
883	18160	2383
884	18177	2362
885	18194	2341
886	18211	2320
887	18228	2299
888	18243	2277
889	18259	2256
890	18275	2235
891	18291	2214
892	18308	2193
893	18324	2172
894	18338	2151
895	18375	2132
896	18407	2113
897	18429	2093
898	18460	2073
899	18496	2055
900	18533	2036
901	18565	2017
902	18589	1996
903	18609	1976
904	18629	1955
905	18647	1934
906	18669	1914
907	18689	1893
908	18708	1872
909	18725	1851
910	18742	1831
911	18761	1810
912	18778	1789
913	18796	1768
914	18816	1747
915	18842	1727
916	18868	1707
917	18893	1687
918	18921	1667
919	18940	1646
920	18958	1626
921	18974	1605
922	18991	1584
923	19009	1563
924	19030	1543
925	19046	1522
926	19060	1500
927	19076	1480
928	19092	1459
929	19110	1438
930	19128	1417
931	19147	1397
932	19170	1376
933	19186	1355
934	19202	1334
935	19219	1314
936	19236	1293
937	19251	1272
938	19267	1251
939	19284	1230
940	19300	1210
941	19316	1189
942	19333	1168
943	19362	1148
944	19383	1128
945	19414	1108
946	19433	1087
947	19459	1067
948	19476	1046
949	19493	1025
950	19509	1005
951	19525	984
952	19542	963
953	19560	943
954	19576	922
955	19592	901
956	19608	881
957	19624	860
958	19641	839
959	19657	819
960	19672	798
961	19689	777
962	19704	757
963	19719	736
964	19735	715
965	19749	695
966	19765	674
967	19797	654
968	19829	634
969	19858	614
970	19880	593
971	19897	573
972	19914	552
973	19930	532
974	19950	511
975	19967	491
976	19982	470
977	19996	449
978	20012	429
979	20028	408
980	20045	388
981	20060	367
982	20078	347
983	20094	326
984	20110	306
985	20125	285
986	20142	265
987	20158	244
988	20174	224
989	20190	203
990	20206	183
991	20222	163
992	20246	142
993	20266	122
994	20298	102
995	20323	81
996	20345	61
997	20362	40
998	20378	20
999	20396	0
